conn,suite,group,total_handshake_us,client_keygen_us,client_decap_us,key_schedule_us,sig_verify_us
235,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,211902.00,0.00,222.00,39.00,45639.00
236,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,196002.00,0.00,270.00,42.00,46109.00
237,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,400696.00,0.00,231.00,41.00,45670.00
238,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,185871.00,0.00,222.00,41.00,45346.00
239,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,435844.00,0.00,223.00,40.00,45139.00
240,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,220755.00,0.00,217.00,39.00,45339.00
241,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,385873.00,0.00,223.00,41.00,45479.00
242,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,144065.00,0.00,225.00,42.00,45945.00
243,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,239826.00,0.00,245.00,42.00,45599.00
244,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,165593.00,0.00,229.00,41.00,45193.00
245,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,409982.00,0.00,241.00,43.00,45306.00
246,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,587715.00,0.00,239.00,42.00,45002.00
247,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,518319.00,0.00,221.00,41.00,45506.00
248,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,176784.00,0.00,231.00,39.00,45781.00
249,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,169583.00,1.00,224.00,39.00,45671.00
250,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,167227.00,0.00,216.00,40.00,45322.00
251,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,645493.00,0.00,239.00,42.00,45721.00
252,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,165859.00,0.00,231.00,43.00,45802.00
253,TLS_AES_256_GCM_SHA384,RSA-3072-OAEP,217980.00,0.00,222.00,40.00,45923.00
