conn,suite,group,total_handshake_us,client_keygen_us,client_decap_us,key_schedule_us,sig_verify_us
249,TLS_AES_256_GCM_SHA384,X25519,44433.00,282.00,553.00,182.00,1289.00
250,TLS_AES_256_GCM_SHA384,X25519,43980.00,228.00,418.00,124.00,1299.00
251,TLS_AES_256_GCM_SHA384,X25519,43581.00,253.00,399.00,124.00,1240.00
252,TLS_AES_256_GCM_SHA384,X25519,42849.00,126.00,243.00,81.00,827.00
253,TLS_AES_256_GCM_SHA384,X25519,42713.00,113.00,190.00,87.00,757.00
254,TLS_AES_256_GCM_SHA384,X25519,44958.00,201.00,384.00,127.00,1304.00
255,TLS_AES_256_GCM_SHA384,X25519,44631.00,279.00,537.00,172.00,1458.00
256,TLS_AES_256_GCM_SHA384,X25519,44948.00,252.00,356.00,113.00,1108.00
257,TLS_AES_256_GCM_SHA384,X25519,44634.00,302.00,602.00,155.00,1150.00
258,TLS_AES_256_GCM_SHA384,X25519,45001.00,271.00,523.00,139.00,1309.00
259,TLS_AES_256_GCM_SHA384,X25519,44918.00,356.00,570.00,154.00,1118.00
260,TLS_AES_256_GCM_SHA384,X25519,44842.00,283.00,529.00,412.00,1285.00
261,TLS_AES_256_GCM_SHA384,X25519,45867.00,368.00,539.00,159.00,1583.00
262,TLS_AES_256_GCM_SHA384,X25519,44267.00,324.00,334.00,133.00,1204.00
263,TLS_AES_256_GCM_SHA384,X25519,43831.00,204.00,294.00,99.00,881.00
264,TLS_AES_256_GCM_SHA384,X25519,46776.00,248.00,354.00,127.00,629.00
265,TLS_AES_256_GCM_SHA384,X25519,44798.00,302.00,524.00,147.00,1344.00
266,TLS_AES_256_GCM_SHA384,X25519,44924.00,222.00,419.00,137.00,1300.00
267,TLS_AES_256_GCM_SHA384,X25519,43898.00,200.00,400.00,122.00,1155.00
268,TLS_AES_256_GCM_SHA384,X25519,45118.00,276.00,516.00,144.00,1506.00
269,TLS_AES_256_GCM_SHA384,X25519,44929.00,305.00,522.00,150.00,1405.00
270,TLS_AES_256_GCM_SHA384,X25519,45544.00,424.00,594.00,178.00,1705.00
271,TLS_AES_256_GCM_SHA384,X25519,45748.00,307.00,545.00,159.00,1705.00
272,TLS_AES_256_GCM_SHA384,X25519,44340.00,294.00,362.00,125.00,914.00
273,TLS_AES_256_GCM_SHA384,X25519,43396.00,196.00,281.00,98.00,874.00
274,TLS_AES_256_GCM_SHA384,X25519,43311.00,180.00,315.00,96.00,859.00
275,TLS_AES_256_GCM_SHA384,X25519,44719.00,258.00,494.00,145.00,960.00
276,TLS_AES_256_GCM_SHA384,X25519,44755.00,221.00,465.00,136.00,1347.00
